[2026-06-25T04:11:37.708Z] GET http://127.0.0.1:52963/welcome → 200 (175ms, 9188B)
[2026-06-25T04:12:10.207Z] GET https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-3.svg → pending (?ms, ?B)
[2026-06-25T04:12:10.318Z] GET https://cdn.cookielaw.org/consent/84cb5c09-05e4-488b-b71c-2fe171dca5e5/84cb5c09-05e4-488b-b71c-2fe171dca5e5.json → 200 (57ms, 7484B)
[2026-06-25T04:12:10.375Z] GET https://geolocation.onetrust.com/cookieconsentpub/v1/geo/location → 200 (318ms, 70B)
[2026-06-25T04:12:10.695Z] GET https://cdn.cookielaw.org/scripttemplates/202606.1.0/otBannerSdk.js → 200 (94ms, 571174B)
[2026-06-25T04:12:10.819Z] GET https://cdn.cookielaw.org/consent/84cb5c09-05e4-488b-b71c-2fe171dca5e5/3917421f-5212-456b-9c09-f7be2e4dad0c/en-us.json → 200 (69ms, 153665B)
[2026-06-25T04:12:10.926Z] GET https://cdn.cookielaw.org/scripttemplates/202606.1.0/assets/otFlat.json → 200 (41ms, ?B)
[2026-06-25T04:12:10.926Z] GET https://cdn.cookielaw.org/scripttemplates/202606.1.0/assets/otCommonStyles.css → 200 (40ms, ?B)
[2026-06-25T04:12:11.079Z] GET https://static.hotjar.com/c/hotjar-391767.js?sv=6 → 200 (3ms, 17644B)
[2026-06-25T04:12:11.079Z] GET https://cdn.cookielaw.org/logos/static/ot_close.svg → 200 (2ms, 651B)
[2026-06-25T04:12:11.084Z] GET https://script.hotjar.com/modules.257d34a3d0c5bd504c93.js → 200 (113ms, 233784B)
[2026-06-25T04:12:11.238Z] GET https://vc.hotjar.io/sessions/391767?s=0.25&r=0.14049081853093193 → pending (?ms, ?B)
[2026-06-25T04:12:11.766Z] GET https://cdn.trustpilot.net/brand-assets/5.3.0/fonts/Trustpilot-Sans.woff2 → 200 (250ms, ?B)
[2026-06-25T04:12:11.767Z] GET https://cdn.trustpilot.net/brand-assets/5.3.0/fonts/Trustpilot-Display-Extrabold.woff2 → 200 (250ms, ?B)
[2026-06-25T04:12:11.767Z] GET https://user-images.trustpilot.com/69fa84c65f73f91717a3bd8e/73x73.png → 200 (120ms, 1120B)
[2026-06-25T04:12:11.767Z] GET https://consumersiteimages.trustpilot.net/business-units/69dca8afb7b8d36281e9b833-198x149-2x.avif → pending (?ms, ?B)
[2026-06-25T04:12:11.767Z] GET https://consumersiteimages.trustpilot.net/business-units/64998a6761f68dd252f484f8-198x149-2x.avif → pending (?ms, ?B)
[2026-06-25T04:12:11.767Z] GET https://consumersiteimages.trustpilot.net/business-units/69f9f72877d05e8503ce93f0-198x149-2x.avif → pending (?ms, ?B)
[2026-06-25T04:12:11.886Z] POST https://o211375.ingest.sentry.io/api/5826609/envelope/?sentry_version=7&sentry_key=7ac98d0742b24421b3d38448c4bf1184&sentry_client=sentry.javascript.nextjs%2F8.55.0 → pending (?ms, ?B)
[2026-06-25T04:12:12.262Z] GET https://www.trustpilot.com/api/consumersitesearch-api/businessunits/semantic-suggestions?countryCode=US → 200 (7ms, 245B)
[2026-06-25T04:12:12.262Z] GET https://www.trustpilot.com/api/businessunitprofile/businessunit/655cc467eee2b94b13da6cb2/service-reviews/topics → 200 (120ms, 298B)
[2026-06-25T04:12:12.262Z] GET https://www.google.com/recaptcha/enterprise.js?onload=grecaptchaAppshellOnLoadCallback&render=6Lcxp2UaAAAAABkIC5izuDmTEeXYfgfaoQ9v69Q4&hl=en-US → 200 (122ms, 1806B)
[2026-06-25T04:12:12.263Z] GET https://www.trustpilot.com/api/businessunitprofile/businessunit/655cc467eee2b94b13da6cb2/service-reviews/topics → 200 (118ms, 298B)
